Date,Open,High,Low,Close,Volume
2019-11-01,89.4005,89.8725,89.2605,89.572,55807080
2019-11-04,90.0505,90.753,90.0505,90.233,55438440
2019-11-05,90.458,90.5125,89.7,90.0855,37710860
2019-11-06,90.05,90.125,89.429,89.7885,40595660
2019-11-07,90.188,90.295,89.174,89.41,53021720
2019-11-08,89.3945,89.494,88.702,89.294,42523960
2019-11-11,88.9,89.0,88.3565,88.5825,38956200
2019-11-12,88.733,89.311,88.5955,88.9,40778500
2019-11-13,88.6695,88.75,87.366,87.6555,58537840
2019-11-14,87.5715,88.3295,87.478,87.73,45388340
2019-11-15,88.0025,88.084,86.643,86.9745,78622820
2019-11-18,86.915,87.685,86.1355,87.6265,56838140
2019-11-19,87.8495,88.034,87.1515,87.6395,45490700
2019-11-20,87.457,88.126,86.706,87.2765,55875180
2019-11-21,87.15,87.3435,86.518,86.7355,53258760
2019-11-22,86.951,87.3215,86.55,87.286,49581620
2019-11-25,87.6625,88.871,87.662,88.692,69789340
2019-11-26,88.996,89.8515,88.9175,89.847,63808560
2019-11-27,90.05,91.225,89.8655,90.9255,60467100
2019-11-29,90.889,91.2345,90.0395,90.04,38468800
